id pop year region species cluster geno_sex sequenced rgb_r_mean rgb_r_mode rgb_g_mean rgb_g_mode rgb_b_mean rgb_b_mode luminance_mean luminance_mode isotope_d13C isotope_d15N isotope_d13C_resid isotope_d15N_resid isotope_CN_ratio egg_diameter_mean egg_diameter_sd egg_number egg_weight sex testis_length_mean testis_width_mean testis_weight std_length body_depth1 body_depth2 spine_dorsal1 spine_dorsal2 spine_dorsal3 spine_pelvic csize PC1 PC10 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 joint_sex ventral_rakers dorsal_rakers raker_long_count raker_short_count plate_count
AL6 AL 2014 AN cmn cmn M 1 178.230879752431 188 176.073883731211 184 173.124972369584 174 527.429735853227 546 -18.7 14.4 0.0299999999999979 -0.400000000000002 3.24489937543373 NA NA NA NA NA NA NA NA 5.42 1.32 1.3 0.570363207 0.524 0 0.892204661 6.0090375355435 -0.0306494130126777 -0.0169680909935716 -0.0149376565885709 -0.00402313669763446 -0.0196596178778974 0.033807857052164 0.0160412591668234 -0.00413478172448384 -0.0165613397411626 -0.000520002650523558 M NA NA NA NA NA
AL6 AL 2014 AN cmn cmn M 1 178.230879752431 188 176.073883731211 184 173.124972369584 174 527.429735853227 546 -18.7 14.4 0.0299999999999979 -0.400000000000002 3.24489937543373 NA NA NA NA NA NA NA NA 5.42 1.32 1.3 0.570363207 0.524 0 0.892204661 6.69932089881986 0.00957161496875976 0.0058677967228271 0.00513886998163895 -0.0313078525472168 0.0049019489487224 0.00551720703107387 0.0134199193674692 -0.00192517560974355 -0.00203912927826583 0.0021356029514899 M NA NA NA NA NA
AL7 AL 2014 AN cmn cmn F 1 155.457757411859 170 159.827248597756 181 164.743389423077 186 480.028395432692 537 -18.72 14.19 -0.0975000000000117 -0.0287499999999995 3.23255333792154 1.465 0.208233309321806 71 3.703 F NA NA NA 5.45 1.28 1.31 0.640971631 0.624 0.184940898 0.965477541 5.7920631689498 -0.0129275420095419 -0.00358897336177949 0.0338607087025943 -0.00285291867069043 -0.00371082592860041 0.0163665876058599 0.0169614029724705 0.00942410547984866 0.00326720634945842 0.00362331745961468 F NA NA NA NA NA
AL7 AL 2014 AN cmn cmn F 1 155.457757411859 170 159.827248597756 181 164.743389423077 186 480.028395432692 537 -18.72 14.19 -0.0975000000000117 -0.0287499999999995 3.23255333792154 1.465 0.208233309321806 71 3.703 F NA NA NA 5.45 1.28 1.31 0.640971631 0.624 0.184940898 0.965477541 6.91285320532126 0.0216034692969706 -0.00182093771633882 -0.0118337590329682 0.00331936634786839 -0.00336238101587901 0.0391406581518271 -0.00828042841163271 0.013250572485178 -0.0107578655194341 -0.000676562854284753 F NA NA NA NA NA
BR18 BR 2014 CB cmn cbr F 1 176.271631545338 132 163.308695189442 129 151.368374840358 133 490.948701575138 394 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.17 1.25 1.37 0.546080055 0.667 0.176421881 0.905225055 6.48409334715032 -0.0209362564114499 -0.000900087200483014 0.0125876515722368 0.00693490964922088 -0.0130182328941413 -0.00388472050895608 0.0183162160141794 -0.016454292547791 0.014382065022317 0.00130672057769031 F NA NA NA NA NA
BR19 BR 2014 CB cmn cbr M 1 187.932505388046 223 164.77120542859 164 138.214796321192 136 490.918507137827 523 NA NA NA NA NA NA NA NA NA NA NA NA NA 6.03 1.46 1.43 0.586650462 0.593 0.220203528 0.946266996 7.47269913329099 0.0224161357365135 0.00320376156814053 -0.0150090156630375 0.000444385364678744 0.00766548342199037 0.0213397490343025 0.0406609666383574 0.00650131534599303 0.0152399360415232 -0.000539771822986632 M NA NA NA NA NA
BR20 BR 2014 CB cmn cbr F 1 172.662912912913 131 157.374865937366 134 145.117814242814 146 475.155593093093 411 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.5 1.31 1.3 0.651770653 0.633 0.215582877 0.852090073 6.9261465476584 0.0109691421421431 0.00298334103045168 0.00530599697734719 0.0112826528744807 0.0065292707763374 -0.00223566728321056 -0.00472622847963175 -0.0115628903723704 0.000775718107523041 -0.0170240865606596 F NA NA NA NA NA
BR21 BR 2014 CB cmn cbr M 1 198.176454370003 136 169.848201977234 181 134.884910788137 131 502.909567135374 448 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.17 1.17 1.15 0.612095246 0.704 0.182600424 0.851482356 6.20799376640874 -0.0414855491226232 0.00489334177295195 -0.0232440490617188 -0.00169563382057046 0.000591967656966279 -0.00636327623982012 -0.00748558837343103 0.0031972181953195 0.00923350554437985 0.014312457869007 M NA NA NA NA NA
BR23 BR 2014 CB cmn cbr F 1 195.443256689525 165 183.456680561158 181 169.32376406257 163 548.223701313254 509 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.63 1.34 1.4 0.588653206 0.593 0.213063609 0.633961302 7.06544083250817 -0.0269067378450333 0.0156035775418012 -0.0151316064244317 0.00333930537789983 -0.00800488205814434 0.00902909555815717 -0.00839807772715138 -0.0103248018119827 0.0148902854975024 0.00208962878948015 F NA NA NA NA NA
BR24 BR 2014 CB cmn cbr M 1 201.20326040326 NA 186.383812383812 195 163.683083083083 162 551.270155870156 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.66 1.26 1.27 0.67579465 0.74 0.206380786 0.887682479 6.93915065101779 0.0341440416262714 -0.00288885358501636 -0.0257646373468223 0.00200694109735186 0.00113469882326728 0.00133354848282619 0.0219829378065359 0.0028487333270245 0.00654753526477277 -0.0052024536150534 M NA NA NA NA NA
BR25 BR 2014 CB cmn cbr F 1 187.186522633745 160 168.365288065844 178 150.661872427984 155 506.213683127572 493 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.72 1.31 1.41 0.524010069 0.651 0.149286901 0.820884428 7.08152659909348 -0.00176135666078439 0.00509982126072444 -0.00681846638505735 -0.00282165369107039 0.00171566745728884 0.0104533259501326 -0.0203287681769921 -0.00535105591344528 -0.00265589237910403 0.00527975717184847 F NA NA NA NA NA
BR26 BR 2014 CB cmn cbr F 1 187.463597624552 161 176.539281019085 169 162.051180923886 160 526.054059567523 490 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.7 1.39 1.4 0.520308674 0.604 0.175558674 0.785117347 7.08105293199063 0.00736153545469788 -0.0024434627166793 -0.00292764537193547 0.00147285195388617 0.00123825231174194 0.00694780087040807 -0.0314766795150941 0.00844249055020446 0.0155443528177402 -0.00518149959019177 F NA NA NA NA NA
BR28 BR 2014 CB cmn cbr F 1 176.871946189479 128 167.901611777397 127 158.480709435878 128 503.254267402754 383 NA NA NA NA NA NA NA NA NA NA NA NA NA 5 1.21 1.23 0.641423955 0.674 0.194492406 0.981919669 6.25453884629419 0.0441429971774858 0.0135221335674881 -0.00860745676025049 -0.00405237061901313 0.00743472556756616 -0.0159918285938622 0.0303274366271112 -0.000197923781068437 0.0109192278567027 0.0013493506881402 F NA NA NA NA NA
BR29 BR 2014 CB cmn cbr M 1 193.635532407407 129 168.527932098765 186 135.024537037037 133 497.18800154321 448 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.13 1.19 1.14 0.663047769 0.672 0.159517742 0.919573321 6.25975151577051 0.059674573058165 0.0131110418222072 -0.0141561549433401 -0.000867264487896562 -0.00610706437870706 -0.00309234765840257 -0.00773380340543059 -0.00213215421277489 -0.000951263439519911 0.010880603039103 M NA NA NA NA NA
BR31 BR 2014 CB cmn cbr M 1 172.765116097865 193 161.184393018544 177 145.406615240767 146 479.356124357176 516 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.18 1.14 1.14 0.545009115 0.597 0.162160499 0.967535081 6.26585811714695 0.0127232149680807 0.00828526232848446 -0.0176965141777139 0.00327056938812305 0.00921383086617319 -0.021931293180131 -0.000329715280956594 0.00864314492918538 -0.000944908637463261 0.00894224329074874 M NA NA NA NA NA
BR32 BR 2014 CB cmn cbr M 1 179.986407520325 191 164.606241531165 178 147.071519308943 153 491.664168360434 522 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.04 1.13 1.12 0.555939864 0.553 0.191694342 1.020747565 6.2005275711539 -0.0236230305112492 -0.00449761827754198 -0.0240935320739327 -0.00237960545610832 -0.014102424749698 -0.00481248763337575 0.0274335241545023 -0.00828117644453165 0.00865093001555005 -0.00682625761643257 M NA NA NA NA NA
