id pop sex pop_cluster cluster
SR114_2014 SR M SR_wht wht
SR120_2014 SR M SR_wht wht
SR125_2014 SR F SR_cmn cmn
SR128_2014 SR F SR_cmn cmn
SR130_2014 SR F SR_cmn cmn
SR131_2014 SR F SR_wht wht
SR133_2014 SR F SR_wht wht
SR137_2014 SR M SR_wht wht
SR141_2014 SR F SR_wht wht
SR144_2014 SR F SR_cmn cmn
SR148_2014 SR F SR_wht wht
SR149_2014 SR F SR_wht wht
SR159_2014 SR M SR_cmn cmn
SR18_2014 SR M SR_wht wht
SR24_2014 SR F SR_cmn cmn
SR25_2014 SR M SR_wht wht
SR34_2014 SR F SR_cmn cmn
SR37_2014 SR F SR_cmn cmn
SR45_2014 SR F SR_cmn cmn
SR51_2014 SR M SR_wht wht
SR58_2014 SR F SR_cmn cmn
SR80_2014 SR M SR_wht wht
SR88_2014 SR F SR_cmn cmn
SR89_2014 SR F SR_cmn cmn
SR92_2014 SR M SR_wht wht
SR96_2014 SR F SR_cmn cmn
CP1_2012 CP M CP_cmn cmn
CP10_2012 CP M CP_cmn cmn
CP2_2012 CP M CP_cmn cmn
CP21_2012 CP M CP_cmn cmn
CP3_2012 CP M CP_cmn cmn
CP31_2012 CP M CP_cmn cmn
CP35_2012 CP M CP_cmn cmn
CP38_2012 CP M CP_cmn cmn
CP4_2012 CP M CP_cmn cmn
CP49_2012 CP M CP_cmn cmn
CP5_2012 CP M CP_cmn cmn
CP50_2012 CP M CP_cmn cmn
CP6_2012 CP M CP_cmn cmn
CP9_2012 CP M CP_cmn cmn
PP1_2012 PP M PP_wht wht
PP10_2012 PP M PP_wht wht
PP11_2012 PP M PP_wht wht
PP12_2012 PP M PP_wht wht
PP13_2012 PP M PP_wht wht
PP14_2012 PP M PP_wht wht
PP15_2012 PP M PP_wht wht
PP2_2012 PP M PP_wht wht
PP3_2012 PP M PP_wht wht
PP31_2012 PP M PP_wht wht
PP4_2012 PP M PP_wht wht
PP5_2012 PP M PP_wht wht
PP6_2012 PP M PP_wht wht
PP7_2012 PP M PP_wht wht
PP8_2012 PP M PP_wht wht
PP9_2012 PP M PP_wht wht
PQ1_2012 PQ M PQ_cmn cmn
PQ10_2012 PQ M PQ_cmn cmn
PQ12_2012 PQ M PQ_cmn cmn
PQ13_2012 PQ M PQ_cmn cmn
PQ14_2012 PQ M PQ_cmn cmn
PQ15_2012 PQ M PQ_cmn cmn
PQ16_2012 PQ M PQ_cmn cmn
PQ2_2012 PQ M PQ_cmn cmn
PQ3_2012 PQ M PQ_cmn cmn
PQ4_2012 PQ M PQ_cmn cmn
PQ5_2012 PQ M PQ_cmn cmn
PQ6_2012 PQ M PQ_cmn cmn
