id std_length body_depth1 body_depth2 spine_dorsal1 spine_dorsal2 spine_dorsal3 spine_pelvic
SF58 4.99 1.19 1.18 0.355950904 0.344 0.117847545 0.73501292
SF1 5.42 1.27 1.33 0.583603763 0.741 0.198459088 0.926897153
SH14 4.22 1.01 1.04 0.507440624 0.487 0.151305159 0.76932497
SH13 4.6 1.05 1.14 0.420232614 0.562 0.155635492 0.820270983
SH6 4.68 1.12 1.22 0.385888298 0.442 0.165239571 0.710717831
SH2 4.73 1.09 1.06 0.546603376 0.575 0.17638944 0.833118822
SH20 4.79 1.07 0.99 0.555413327 0.575 0.133602066 0.719473581
SH18 4.87 1.17 1.21 0.521317946 0.604 0.227477742 0.897660433
SH19 5.06 1.17 1.18 0.45162079 0.549 0.123723252 0.707087947
SH16 5.14 1.27 1.33 NA NA NA NA
SH10 5.31 1.23 1.23 0.502448003 0.612 0.27497337 0.810794882
SH12 5.32 1.17 1.24 0.582601449 0.635 0.144927536 0.765376812
SH11 5.38 1.31 1.34 0.610775255 0.632 0.096517838 0.804319311
SH1 5.5 1.33 1.41 0.639098249 0.662 0.160863862 0.906566014
SH7 5.56 1.38 1.43 0.600007246 0.629 0.179265701 0.887021739
SH4 5.57 1.3 1.42 0.47042644 NA 0.193572831 0.9236447
SH8 5.73 1.3 1.38 0.600515445 0.69 0.194434447 0.913478144
SH5 6.11 1.44 1.44 0.57113285 0.661 0.239021739 1.016147343
SK10 4.72 1.07 1.12 0.561770694 0.637 0.166976735 0.806326419
SK1 4.76 1.11 1.12 0.390734564 0.487 0.121263888 0.750124384
SK8 4.88 1.15 1.12 0.603040733 0.615 0.215936457 0.853250028
SK19 5.15 1.2 1.19 0.522294404 0.572 0.206454988 0.789537713
SK26 5.18 1.16 1.14 0.427471318 0.408 0.126501491 0.706015279
SK17 5.31 1.19 1.22 0.644477066 0.631 0.20000049 0.744566762
SK30 5.32 1.21 1.21 NA 0.76 0.250431373 0.941291667
SK14 5.35 1.28 1.32 0.541949991 0.53 0.18525071 0.678473996
SK12 5.37 1.29 1.32 0.624662219 0.571 0.179391662 0.831240418
SK24 5.42 1.31 1.31 0.51777203 0.542 0.190335539 0.805019817
SK13 5.45 1.25 1.29 0.412764136 0.436 0.15382801 0.683106608
SK25 5.55 1.3 1.31 0.531233227 0.547 0.212084968 0.692564661
SK4 5.77 1.36 1.42 0.550846154 0.644 0.145951282 0.584817949
SK7 5.98 1.41 1.49 0.27721978 0.36 0.158319771 0.492315184
SK15 6.89 1.53 1.5 0.388822569 0.465 0.142933552 0.744323173
SR128 3.46 0.75 0.78 0.458558685 0.5 0.143633803 0.676201878
SR131 3.62 0.82 0.86 0.408401891 0.474 0.175451537 0.624758865
SR137 3.78 0.88 0.88 0.431133803 0.473 0.178157277 0.442262911
SR51 3.79 0.83 0.84 0.426711584 0.505 0.171390071 0.712333333
SR120 3.82 0.87 0.9 0.421721894 0.534 0.210859765 0.724496526
SR105 3.87 0.88 0.91 0.664836139 0.635 0.190827189 0.994198732
SR25 3.91 0.89 0.88 0.503681937 0.579 0.102283392 0.702073941
SR114 3.96 0.84 0.89 0.556352564 0.586 0.122044648 0.573686504
SR92 4.06 0.91 0.93 0.463115839 0.488 0.0951513 0.668023641
SR18 4.07 0.89 0.89 0.432333333 0.46 0.08270922 0.638297872
SR148 4.08 0.94 0.94 0.488869642 0.471 0.171905587 0.649198905
SR80 4.11 0.98 1.01 0.541930726 0.552 0.15665547 0.819793733
SR141 4.22 0.94 0.94 0.782588653 0.825 0.150782506 0.794832151
SR107 4.28 0.96 1.01 0.448505235 0.431 0.130759757 0.667201679
SR149 4.28 0.94 1.06 0.368238651 0.423 0.12201574 0.624742619
SR133 4.32 0.96 1.01 0.424220854 0.499 0 0.651619001
SR58 4.38 1.01 1.08 0.454199539 0.379 0.085671497 0.525850272
SR89 4.87 1.12 1.18 0.634328658 0.484 0.140414788 0.688620391
SR144 4.88 1.04 1.06 0.421732861 0.477 0 0.638929078
SR88 4.9 1.16 1.15 0.437528169 0.485 0.139429578 0.704366197
SR45 4.98 1.14 1.17 0.458312057 0.546 0.122018913 0.582252955
SR96 5.01 1.05 1.09 0.524112646 0.541 0.149705898 0.888241065
SR1 5.05 1.06 1.09 0.602867544 0.486 0.095828443 0.729111857
SR34 5.2 1.12 1.2 0.42836385 0.485 0.102537559 0.560732394
SR24 5.29 1.16 1.19 0.352112676 0.479 0.132873239 0.527934272
SR130 5.47 1.18 1.18 0.472940476 0.614 0.190595238 0.763719048
SR113 5.54 1.25 1.24 0.551861158 0.596 0.170786421 0.81819815
SR125 5.98 1.4 1.46 0.381661939 0.355 0.122018913 0.397416076
SR37 7.13 1.46 1.46 0.426711584 0.406 0 0.66907565
