id rgb_r_mean rgb_r_mode rgb_g_mean rgb_g_mode rgb_b_mean rgb_b_mode luminance_mean luminance_mode
AL33 140.89125 155 141.537115384615 153 142.590544871795 151 425.01891025641 459
AL34 160.074541488604 97 160.153668091168 99 161.985977564103 106 482.214187143875 302
AL35 136.134261363636 156 136.800056818182 153 138.273664772727 149 411.207982954545 458
AL36 146.404782068654 171 150.786190153568 178 155.635444896116 182 452.826417118338 531
AL37 139.340960837887 156 136.391640103218 147 136.474783697632 132 412.207384638737 435
AL38 142.633845899471 156 145.136656746032 156 148.097511574074 156 435.868014219577 468
AL39 141.559526996876 149 144.979205711736 151 149.505756358768 155 436.044489067381 455
AL4 179.718860294118 101 180.537426470588 131 181.143235294118 134 541.399522058824 366
AL40 161.455533707865 176 165.316404494382 178 171.409662921348 182 498.181601123595 536
AL41 148.690929015837 157 149.922794117647 156 152.273861708145 157 450.887584841629 470
AL42 155.795829170829 158 159.138299200799 160 163.72386988012 164 478.657998251748 482
AL43 158.834379685157 181 159.522980697151 175 159.651026049475 167 478.008386431784 523
AL44 133.269047619048 154 137.331919642857 155 142.467224702381 156 413.068191964286 465
AL45 152.847660818713 159 156.547076023392 169 162.55350877193 182 471.948245614035 510
AL5 167.164620535714 101 164.684216174451 103 162.320763221154 185 494.169599931319 389
AL6 178.230879752431 188 176.073883731211 184 173.124972369584 174 527.429735853227 546
AL7 155.457757411859 170 159.827248597756 181 164.743389423077 186 480.028395432692 537
AL8 177.826584507042 130 177.298453766075 191 176.037584200857 188 531.162622473974 509
AL9 171.213817567568 100 173.065777027027 106 175.43847972973 189 519.718074324324 395
BK1 178.029441760601 125 166.195652173913 112 154.235373054214 98 498.460466988728 335
BK10 198.651398780431 130 189.289857096309 130 170.848019364148 185 558.789275240888 445
BK11 191.060913855032 NA 167.010716598952 143 142.689984101749 126 500.761614555732 NA
BK12 198.19570458032 NA 185.676650351864 199 155.82591862079 158 539.698273552974 NA
BK13 194.655614571597 130 181.640967863083 138 168.168920006438 186 544.465502441118 454
BK14 193.666416978777 NA 178.526342072409 188 153.057570893526 157 525.250329944712 NA
BK15 185.575177626606 133 177.617324263039 132 158.614361300076 163 521.80686318972 428
BK16 199.274839902291 130 185.075262428204 131 151.445863867433 158 535.795966197927 419
BK17 180.335558773059 162 157.892052767053 129 137.902295152295 111 476.129906692407 402
BK18 178.752859477124 133 165.463473583878 132 143.818082788671 141 488.034415849673 406
BK19 178.011922278815 129 167.643916242218 125 152.647953216374 106 498.303791737408 360
BK2 204.32215007215 NA 182.17620650954 160 156.098164181498 127 542.596520763187 NA
BK20 185.997293810378 161 165.049372226942 181 131.752635388149 130 482.79930142547 472
BK21 175.358048433048 99 153.328703703704 176 130.416642924976 133 459.103395061728 408
BK22 186.725999880074 140 167.042393715896 175 134.914493014331 129 488.682886610302 444
BK23 185.62156285073 132 170.94476010101 188 143.74435325477 153 500.31067620651 473
