id isotope_d13C isotope_d15N isotope_d13C_resid isotope_d15N_resid isotope_CN_ratio
LN6 -20.48 11.47 -1.2036847543983 -1.24334577134745 3.27028934368384
LN7 -20.49 11.32 -1.19688409735808 -1.37654511430723 3.28709000072406
LN8 -20.84 11.69 -1.58475246315346 -1.04441348010261 3.24922163492868
LN9 -20.15 11.3 -0.911990754674251 -1.45165177162341 3.23198334340789
SF1 -18.42 14.25 0.22208359023831 1.2072687754235 3.43245551601423
SF10 -18.35 14.34 0.212462223979149 1.21764740916434 3.35283414975507
SF12 -19.53 12.76 -0.105766617489339 0.194572365561512 3.4182074805928
SF2 -18.48 14.13 0.800002307191976 1.42034129024282 3.27397640527411
SF22 -18.56 14 0.00492457701171078 0.880109762196895 3.35529650278763
SF23 -18.08 13.66 1.19271570066873 0.943054683719576 3.26668979875087
SF24 -17.46 14.32 1.85786347934387 1.64820246239472 3.31183757742601
SF25 -18.49 13.12 0.868860051672936 0.489199034723781 3.35283414975507
SF27 -18.98 12.76 -0.438311731749493 -0.383126546564306 3.33206019402643
SF28 -19.01 13.59 -0.445244602995471 0.469940582189718 3.35512732278045
SF29 -18.88 13.86 0.477684335227672 1.22802331827852 3.35165843330981
SF3 -18.4 13.91 1.00202315193696 1.3223621349878 3.3959972500191
SF30 -19.51 13.29 -0.939095034728042 0.176090150457145 3.36127689104788
SF32 -17.58 14.18 0.894760098597809 0.969945283782994 3.26513202437373
SF33 -18.73 13.61 0.672003318996195 1.02234230204704 3.39597741707833
SF4 -19.79 13.3 -1.26749883986884 0.13768634531635 3.31287308590709
SF5 -18.88 13.17 -0.328903258774271 0.0362819264109146 3.34146866700165
SF58 -19.92 13.75 -0.504814669469693 1.17552431358116 3.40915942861245
SF7 -18.66 12.81 0.618174257411212 0.0985132404620606 3.27214835549335
SF83 -18.9 13.96 -0.277049594367925 0.898135590817261 3.413322331408
SR1 -18.69 13.25 -0.2099282397691 0.0452569454160884 3.27044368600683
SR105 -18 14.16 0.485771989891328 0.960957175076515 3.27614391566725
SR107 -18.62 13.94 -0.0709548542977845 0.804230330887403 3.33941707147814
SR113 -18.9 13.11 -0.407341743885057 -0.0821565586998719 3.28303018189087
SR114 -18.04 14.39 1.39112819688317 1.83146717993402 3.42510229496531
SR120 -18.17 14.84 1.24299664836248 2.26333563141333 3.40697074644462
SR125 -19.25 15.24 -0.343204347619039 2.46198083756615 3.69716757815688
SR128 -18.11 12.5 0.380891086021441 -0.693923728793373 3.28126301179736
SR130 -18.8 13.25 -0.290513069036334 0.0746721161488534 3.29985885673959
SR131 -17.56 12.4 0.903151205896676 -0.821663608918139 3.2535231316726
SR133 -18.29 13.67 0.208177692544688 0.483362877729874 3.28854961832061
SR137 -18.18 12.96 1.16154191615274 0.311880899203586 3.33551601423488
SR141 -17.44 13.09 1.08404852960688 -0.0707662852079348 3.3144204553828
SR144 -18.44 13.19 -0.00726297365933837 -0.0620777884741524 3.22310895211659
SR148 -17.36 13.34 1.08300845531088 0.0981936404960668 3.2333803810868
SR149 -17.88 14.7 0.61094312698411 1.50612831216929 3.28131505276003
SR15 -18.4 13.59 NA NA 3.24112199347058
SR18 -18.14 14.13 1.19093915660211 1.47127813965295 3.32491325468425
SR20 -18.63 13.51 NA NA 3.31590095683296
SR25 -17.61 14.06 1.76757137604032 1.44791035909117 3.37154547412246
SR34 -17.34 13.97 1.10375426517617 0.728939450361359 3.2341261909521
SR37 -19.52 14.16 -1.06428421001261 0.93090097517258 3.24608771576332
SR45 -18.59 13.6 -0.137544773921479 0.367640411263707 3.24282715185444
SR51 -18.07 13.64 1.20998322851068 0.930322211561527 3.27395732659282
SR58 -18.24 13.54 0.288692079729927 0.383877264915114 3.31906400550585
SR80 -18.23 14.79 1.09256831578044 2.12290729883129 3.31654241386258
SR88 -18.87 13.16 -0.197460799113923 0.147724386071264 3.462911126662
SR89 -18.22 13.58 0.247651093858471 0.362836279043659 3.25802301963439
SR92 -18.89 13.78 0.615670030031739 1.29600901308259 3.49964412811388
SR96 -18.72 13.24 -0.138826451653463 0.136358733531725 3.37154547412246
